Panel	SGDP_ID	Population_ID	Region	Country	Contributor	Gender	Latitude	Longitude	Coverage	HetRateAuto													
C	S_Even-1	Even	CentralAsiaSiberia	Russia	Rem Sukernik / Stanislav Dryomov / Elena Starikovskaya	F	57.53	135.88	47	0.0007													
C	S_Even-2	Even	CentralAsiaSiberia	Russia	Rem Sukernik / Stanislav Dryomov / Elena Starikovskaya	M	57.53	135.88	39	0.00067													
C	S_Even-3	Even	CentralAsiaSiberia	Russia	Rem Sukernik / Stanislav Dryomov / Elena Starikovskaya	F	57.53	135.88	47	0.00066													
C	S_Itelman-1	Itelman	CentralAsiaSiberia	Russia	Rem Sukernik / Stanislav Dryomov	F	57	157	45	0.00062													
C	S_Kyrgyz-1	Kyrgyz	CentralAsiaSiberia	Kyrgyzystan	Robert Mahley / Ugur Hodoglugil	M	42.9	74.6	46	0.00073													
C	S_Kyrgyz-2	Kyrgyz	CentralAsiaSiberia	Kyrgyzystan	Robert Mahley / Ugur Hodoglugil	F	42.9	74.6	37	0.00073													
C	S_Mansi-1	Mansi	CentralAsiaSiberia	Russia	Rem Sukernik / Stanislav Dryomov / Elena Starikovskaya	M	63.8	61.45	37	0.00071													
C	S_Mansi-2	Mansi	CentralAsiaSiberia	Russia	Rem Sukernik / Stanislav Dryomov / Elena Starikovskaya	F	63.65	62.1	44	0.00072													
C	S_Mongola-1	Mongola	CentralAsiaSiberia	China	Howard Cann	M	45.0	111.0	37	0.00068													
C	S_Mongola-2	Mongola	CentralAsiaSiberia	China	Howard Cann	F	45.0	111.0	42	0.00068													
C	S_Tlingit-1	Tlingit	CentralAsiaSiberia	Russia	Rem Sukernik / Stanislav Dryomov	M	53	158.65	43	0.00075													
C	S_Tlingit-2	Tlingit	CentralAsiaSiberia	Russia	Rem Sukernik / Stanislav Dryomov	F	55.18	166	45	0.00071													
C	S_Tubalar-1	Tubalar	CentralAsiaSiberia	Russia	Rem Sukernik / Stanislav Dryomov	F	51.13333333	87	37	0.00071													
C	S_Tubalar-2	Tubalar	CentralAsiaSiberia	Russia	Rem Sukernik / Stanislav Dryomov	F	51.13333333	87	40	0.00071													
C	S_Ulchi-1	Ulchi	CentralAsiaSiberia	Russia	Rem Sukernik / Stanislav Dryomov	F	52.43	140.42	41	0.00066													
C	S_Ulchi-2	Ulchi	CentralAsiaSiberia	Russia	Rem Sukernik / Stanislav Dryomov	F	52.37	140.45	39	0.00067													
C	S_Yakut-1	Yakut	CentralAsiaSiberia	Russia	Howard Cann	F	63.0	129.5	36	0.00067													
C	S_Yakut-2	Yakut	CentralAsiaSiberia	Russia	Howard Cann	M	63.0	129.5	46	0.00067													
C	S_Ami-1	Ami	EastAsia	Taiwan	Coriell	M	22.843145	121.185356	35	0.00064													
C	S_Ami-2	Ami	EastAsia	Taiwan	Coriell	M	22.843145	121.185356	44	0.00064													
C	S_Atayal-1	Atayal	EastAsia	Taiwan	Coriell	M	24.611712	121.296444	35	0.00061													
C	S_Burmese-1	Burmese	EastAsia	Myanmar	Toomas Kivisild / Joseph Wee Tien Seng	M	17.0	96.7	54	0.0007													
C	S_Burmese-2	Burmese	EastAsia	Myanmar	Toomas Kivisild / Joseph Wee Tien Seng	M	17.0	96.7	47	0.00072													
C	S_Cambodian-1	Cambodian	EastAsia	Cambodia	Howard Cann	M	12.0	105.0	41	0.00069													
C	S_Cambodian-2	Cambodian	EastAsia	Cambodia	Howard Cann	F	12.0	105.0	37	0.0007													
A	A_Dai-5	Dai	EastAsia	China	Howard Cann	M	21	100	28	0.00073													
B	B_Dai-4	Dai	EastAsia	China	Howard Cann	M	21	100	37	0.00068													
C	S_Dai-1	Dai	EastAsia	China	Howard Cann	F	21.0	100.0	46	0.00067													
C	S_Dai-2	Dai	EastAsia	China	Howard Cann	M	21.0	100.0	38	0.00067													
C	S_Dai-3	Dai	EastAsia	China	Howard Cann	F	21.0	100.0	36	0.00066													
C	S_Daur-2	Daur	EastAsia	China	Howard Cann	F	48.5	124.0	43	0.00068													
A	A_Han-4	Han	EastAsia	China	Howard Cann	M	32.26566812	114	28	0.00073													
B	B_Han-3	Han	EastAsia	China	Howard Cann	M	32.26566812	114	35	0.00069													
C	S_Han-1	Han	EastAsia	China	Howard Cann	F	32.3	114.0	64	0.00068													
C	S_Han-2	Han	EastAsia	China	Howard Cann	M	32.3	114.0	31	0.00067													
C	S_Hezhen-1	Hezhen	EastAsia	China	Howard Cann	M	47.5	133.5	41	0.00067													
C	S_Hezhen-2	Hezhen	EastAsia	China	Howard Cann	F	47.5	133.5	38	0.00068													
C	S_Japanese-1	Japanese	EastAsia	Japan	Howard Cann	M	37.85	139.0	36	0.00067													
C	S_Japanese-2	Japanese	EastAsia	Japan	Howard Cann	F	37.85	139.0	39	0.00068													
C	S_Japanese-3	Japanese	EastAsia	Japan	Coriell	M	37.85	139.0	46	0.00068													
C	S_Kinh-1	Kinh	EastAsia	Vietnam	1KG	F	21.0	105.9	36	0.00068													
C	S_Kinh-2	Kinh	EastAsia	Vietnam	1KG	M	21.0	105.9	36	0.00068													
C	S_Korean-1	Korean	EastAsia	Korea	Coriell	M	37.6	127.0	42	0.00067													
C	S_Korean-2	Korean	EastAsia	Korea	Coriell	F	37.6	127.0	49	0.00068													
C	S_Lahu-1	Lahu	EastAsia	China	Howard Cann	F	22.0	100.0	36	0.00068													
C	S_Lahu-2	Lahu	EastAsia	China	Howard Cann	M	22.0	100.0	56	0.00066													
C	S_Miao-1	Miao	EastAsia	China	Howard Cann	M	28.0	109.0	33	0.00066													
C	S_Miao-2	Miao	EastAsia	China	Howard Cann	F	28.0	109.0	34	0.00066													
C	S_Naxi-1	Naxi	EastAsia	China	Howard Cann	M	26.0	100.0	40	0.00068													
C	S_Naxi-2	Naxi	EastAsia	China	Howard Cann	M	26.0	100.0	35	0.00075													
C	S_Naxi-3	Naxi	EastAsia	China	Howard Cann	F	26.0	100.0	39	0.00068													
C	S_Oroqen-1	Oroqen	EastAsia	China	Howard Cann	M	50.4	126.5	37	0.00066													
C	S_Oroqen-2	Oroqen	EastAsia	China	Howard Cann	F	50.4	126.5	38	0.00065													
C	S_She-1	She	EastAsia	China	Howard Cann	F	27.0	119.0	45	0.00066													
C	S_She-2	She	EastAsia	China	Howard Cann	M	27.0	119.0	45	0.00066													
C	S_Thai-1	Thai	EastAsia	Thailand	ECCAC	M	13.8	100.5	35	0.00071													
C	S_Thai-2	Thai	EastAsia	Thailand	ECCAC	F	13.8	100.5	41	0.00067													
C	S_Tu-1	Tu	EastAsia	China	Howard Cann	M	36.0	101.0	48	0.0007													
C	S_Tu-2	Tu	EastAsia	China	Howard Cann	F	36.0	101.0	35	0.00069													
C	S_Tujia-1	Tujia	EastAsia	China	Howard Cann	M	29.0	109.0	48	0.00067													
C	S_Tujia-2	Tujia	EastAsia	China	Howard Cann	F	29.0	109.0	35	0.00065													
C	S_Uygur-1	Uygur	EastAsia	China	Howard Cann	F	44.0	81.0	35	0.00074													
C	S_Uygur-2	Uygur	EastAsia	China	Howard Cann	M	44.0	81.0	48	0.00075													
C	S_Xibo-1	Xibo	EastAsia	China	Howard Cann	M	43.5	81.5	34	0.00068													
C	S_Xibo-2	Xibo	EastAsia	China	Howard Cann	M	43.5	81.5	50	0.00068													
C	S_Yi-1	Yi	EastAsia	China	Howard Cann	M	28.0	103.0	38	0.00067													
C	S_Yi-2	Yi	EastAsia	China	Howard Cann	F	28.0	103.0	37	0.00068													
B	B_Australian-4	Australian	Oceania	Australia	ECCAC	M	-13	143	42	0.00063													
C	S_Australian-1	Australian	Oceania	Australia	ECCAC	F	-13.0	143.0	32	0.00063													
C	S_Australian-5	Australian	Oceania	Australia	ECCAC	M	-13.0	143.0	46	0.00061													
